Recon3d_id,Row_medium
8622_AT1,0
5152_AT1,0
5160_AT1,11.97726717
5162_AT1,11.18894259
8050_AT1,10.39725944
55066_AT1,10.44353977
8566_AT1,12.53045763
55825_AT1,0
10400_AT1,0
5184_AT1,11.13518603
5198_AT1,9.654658966
5207_AT1,0
5208_AT1,11.46148897
5209_AT1,12.73942272
5210_AT1,0
5211_AT1,12.88855949
5213_AT1,12.32939062
5214_AT1,12.05394409
80055_AT1,9.478544613
5226_AT1,12.08293579
5230_AT1,14.35581979
25796_AT1,10.11429089
5236_AT1,12.20418801
5238_AT1,10.10111952
9489_AT1,10.47061737
26227_AT1,9.916299135
5264_AT1,10.57319961
55361_AT1,10.86621695
5297_AT1,12.54765299
5298_AT1,12.13201278
5277_AT1,0
9488_AT1,0
5279_AT1,9.684572386
5281_AT1,0
54872_AT1,10.4858889
5283_AT1,0
10026_AT1,9.86676559
9487_AT1,0
23556_AT1,0
84720_AT1,9.933488119
51227_AT1,0
9091_AT1,11.18017288
51604_AT1,12.05188975
55650_AT1,0
80235_AT1,0
5286_AT1,11.24016426
5287_AT1,10.78594966
5289_AT1,10.86363542
5290_AT1,10.37699553
5291_AT1,10.90017813
5293_AT1,10.01767865
5294_AT1,0
5295_AT1,12.37062474
5296_AT1,10.98838233
8503_AT1,10.47963976
23533_AT1,0
200576_AT1,11.03651359
5305_AT1,11.42912043
8396_AT1,12.54059248
79837_AT1,10.80416894
8394_AT1,11.12868016
8395_AT1,0
23396_AT1,12.11112788
51268_AT1,0
23761_AT1,11.34428171
5315_AT1,15.32504641
81579_AT1,10.64061238
5320_AT1,0
5321_AT1,0
8398_AT1,10.69255347
23236_AT1,0
5330_AT1,9.810179134
5331_AT1,10.52383043
5332_AT1,0
5333_AT1,9.969105273
51196_AT1,9.676845254
5335_AT1,12.35361343
5336_AT1,0
9651_AT1,0
5334_AT1,9.437615202
5337_AT1,9.4733572
5338_AT1,10.52419457
23646_AT1,13.0425291
5372_AT1,10.12654658
5373_AT1,0
